"","Estimate","Std. Error","t-value","Pr(>|t|)"
"log(pm25_mean)",-2.65336890396154,0.0399747806305909,-66.37607166582,0
"log(vcf_mean)",-1.22691134399275,0.0138103581596353,-88.8399366483302,0
