"","Estimate","Std. Error","t-value","Pr(>|t|)"
"pm25_mean",-0.122380175150595,0.00206108432956392,-59.3765977428437,0
"vcf_mean",-0.0744416109329532,0.00125779343980199,-59.1842893891005,0
